datetime,team_id,team_name,player_name,player_id,cost,move
2021-09-11 12:31:00.047000-07:00,19,Federal Way Yu,Bills D/ST,-16002,0,DROPPED
2021-09-11 12:31:00.047000-07:00,19,Federal Way Yu,49ers D/ST,-16025,0,FA ADDED
2021-09-11 12:25:44.892000-07:00,17,Scooty Lewis and the News,Trey Lance,4383351,0,DROPPED
2021-09-11 12:25:44.892000-07:00,17,Scooty Lewis and the News,Gabriel Davis,4243537,0,FA ADDED
2021-09-09 20:51:48.983000-07:00,17,Scooty Lewis and the News,Latavius Murray,15920,0,FA ADDED
2021-09-09 20:51:48.983000-07:00,17,Scooty Lewis and the News,Tony Jones Jr.,4046676,0,DROPPED
2021-09-09 17:36:39.151000-07:00,1,Fully  Maccinated,Tevin Coleman,2979477,0,FA ADDED
2021-09-09 16:39:09.432000-07:00,17,Scooty Lewis and the News,Latavius Murray,15920,0,DROPPED
2021-09-09 16:39:09.432000-07:00,17,Scooty Lewis and the News,Tony Jones Jr.,4046676,0,FA ADDED
2021-09-09 16:13:03.429000-07:00,2,Rippin' Swigs,Nyheim Hines,3916430,0,FA ADDED
2021-09-09 16:13:03.429000-07:00,2,Rippin' Swigs,Cole Beasley,15349,0,DROPPED
2021-09-09 13:49:11.774000-07:00,17,Scooty Lewis and the News,Latavius Murray,15920,0,FA ADDED
2021-09-09 13:48:51.956000-07:00,17,Scooty Lewis and the News,Russell Gage,3115378,0,DROPPED
2021-09-09 13:48:51.956000-07:00,17,Scooty Lewis and the News,Gabriel Davis,4243537,0,DROPPED
2021-09-09 13:18:42.621000-07:00,11,Raiders Are Good,Le'Veon Bell,15825,0,FA ADDED
2021-09-09 13:18:42.621000-07:00,11,Raiders Are Good,Jaret Patterson,4362452,0,DROPPED
2021-09-09 12:53:39.625000-07:00,12,Herb Your Enthusiasm,Tevin Coleman,2979477,0,DROPPED
2021-09-09 12:53:39.625000-07:00,12,Herb Your Enthusiasm,Ty'Son Williams,3895827,0,FA ADDED
2021-09-09 08:03:26.545000-07:00,12,Herb Your Enthusiasm,Tevin Coleman,2979477,0,FA ADDED
2021-09-09 08:03:26.545000-07:00,12,Herb Your Enthusiasm,49ers D/ST,-16025,0,DROPPED
2021-09-09 06:35:20.527000-07:00,16,Draftin Herbert First Pick,Browns D/ST,-16005,0,DROPPED
2021-09-09 06:35:20.527000-07:00,16,Draftin Herbert First Pick,Jaguars D/ST,-16030,0,FA ADDED
2021-09-08 17:34:11.790000-07:00,2,Rippin' Swigs,Justin Jackson,3116136,0,FA ADDED
2021-09-08 17:34:11.790000-07:00,2,Rippin' Swigs,James White,16913,0,DROPPED
2021-09-06 00:27:14.644000-07:00,11,Raiders Are Good,Jaret Patterson,4362452,0,FA ADDED
2021-09-06 00:27:14.644000-07:00,11,Raiders Are Good,Nyheim Hines,3916430,0,DROPPED
2021-09-04 05:56:51.543000-07:00,1,Fully  Maccinated,Panthers D/ST,-16029,0,FA ADDED
2021-09-04 05:56:51.543000-07:00,1,Fully  Maccinated,Chiefs D/ST,-16012,0,DROPPED
2021-09-04 00:09:15.146000-07:00,17,Scooty Lewis and the News,Gabriel Davis,4243537,0,WAIVER ADDED
2021-09-04 00:09:15.146000-07:00,15,Elite starts  with Eli,Anthony Firkser,3049698,1,WAIVER ADDED
2021-09-04 00:09:15.146000-07:00,10,Spenny Willy,Ty Johnson,3915411,0,DROPPED
2021-09-04 00:09:15.146000-07:00,10,Spenny Willy,Dolphins D/ST,-16015,1,WAIVER ADDED
